Balanced Symbol Checker Time Analysis,Number of operations performed,Time in NanoSeconds it takes to Push Peek or Pop from the stack
Push item onto stack (Doubly Linked List),1024,2405
Push item onto stack (Doubly Linked List),2048,601
Push item onto stack (Doubly Linked List),4096,901
Push item onto stack (Doubly Linked List),8192,601
Push item onto stack (Doubly Linked List),16384,300
Push item onto stack (Doubly Linked List),32768,300
Push item onto stack (Doubly Linked List),65536,300
Push item onto stack (Doubly Linked List),131072,301
Push item onto stack (Doubly Linked List),262144,301
Push item onto stack (Doubly Linked List),524288,300
Push item onto stack (Doubly Linked List),1048576,601
Push item onto stack (Doubly Linked List),2097152,601
Push item onto stack (Doubly Linked List),4194304,300
Push item onto stack (Doubly Linked List),8388608,300
Push item onto stack (Doubly Linked List),16777216,301
Push item onto stack (Doubly Linked List),33554432,601
Push item onto stack (Doubly Linked List),67108864,602
Peek item onto stack (Doubly Linked List),1024,601
Peek item onto stack (Doubly Linked List),2048,301
Peek item onto stack (Doubly Linked List),4096,300
Peek item onto stack (Doubly Linked List),8192,0
Peek item onto stack (Doubly Linked List),16384,301
Peek item onto stack (Doubly Linked List),32768,300
Peek item onto stack (Doubly Linked List),65536,301
Peek item onto stack (Doubly Linked List),131072,300
Peek item onto stack (Doubly Linked List),262144,300
Peek item onto stack (Doubly Linked List),524288,0
Peek item onto stack (Doubly Linked List),1048576,0
Peek item onto stack (Doubly Linked List),2097152,0
Peek item onto stack (Doubly Linked List),4194304,301
Peek item onto stack (Doubly Linked List),8388608,0
Peek item onto stack (Doubly Linked List),16777216,300
Peek item onto stack (Doubly Linked List),33554432,301
Peek item onto stack (Doubly Linked List),67108864,0
Pop item from stack (Doubly Linked List),1024,300
Pop item from stack (Doubly Linked List),2048,301
Pop item from stack (Doubly Linked List),4096,300
Pop item from stack (Doubly Linked List),8192,300
Pop item from stack (Doubly Linked List),16384,300
Pop item from stack (Doubly Linked List),32768,300
Pop item from stack (Doubly Linked List),65536,300
Pop item from stack (Doubly Linked List),131072,0
Pop item from stack (Doubly Linked List),262144,301
Pop item from stack (Doubly Linked List),524288,300
Pop item from stack (Doubly Linked List),1048576,301
Pop item from stack (Doubly Linked List),2097152,301
Pop item from stack (Doubly Linked List),4194304,300
Pop item from stack (Doubly Linked List),8388608,301
Pop item from stack (Doubly Linked List),16777216,301
Pop item from stack (Doubly Linked List),33554432,301
Pop item from stack (Doubly Linked List),67108864,301
